2024-04-14 12:35:40.771 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:35:40.772 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:35:42.170 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:36:20.326 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:36:20.366 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:36:20.367 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:36:21.404 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:15.476 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:37:15.479 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:37:15.479 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:37:15.488 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:37:15.488 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:37:15.490 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:37:15.490 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:37:16.959 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:16.959 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:32.720 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:32.720 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:56.596 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:37:56.596 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:37:56.601 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:37:56.601 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:37:56.601 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:37:56.610 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:37:56.610 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:37:56.610 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:37:56.613 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:37:56.613 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:37:56.613 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:37:58.608 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:58.608 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:37:58.608 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:38:20.866 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:38:20.866 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:38:20.866 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:38:20.870 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:38:20.870 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:38:20.870 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:38:20.870 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:38:20.879 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:38:20.879 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:38:20.879 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:38:20.879 | DEBUG    | edmacro:__load_assets:58 - Loaded 22 assets.
2024-04-14 12:38:20.882 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:38:20.882 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:38:20.882 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:38:20.882 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:38:21.960 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:38:21.960 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:38:21.960 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:38:21.960 | INFO     | actions:restart_char:25 - Restarting character
2024-04-14 12:42:01.860 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:42:01.895 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
2024-04-14 12:42:01.897 | INFO     | edmacro:__init__:45 - Assets loaded
2024-04-14 12:42:22.405 | DEBUG    | edmacro:__init__:32 - Config loaded
2024-04-14 12:42:22.410 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:42:22.410 | INFO     | edmacro:__init__:42 - MacroController initialized
2024-04-14 12:42:22.418 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
2024-04-14 12:42:22.418 | DEBUG    | edmacro:__load_assets:63 - Loaded 22 assets.
